"Absolute_Pressure","Aspect_Ratio","Courant_Number","Density","Dynamic_Viscosity","Mesh_Expansion_Factor","Orthogonality_Angle","P_Mass.Residual","Points:0","Points:1","Points:2","Pressure","Pressure.Gradient:0","Pressure.Gradient:1","Pressure.Gradient:2","Real_Partition_Number","Shear_Strain_Rate","Specific_Volume","Total_Pressure","U_Mom.Residual","V_Mom.Residual","Velocity:0","Velocity:1","Velocity:2","Velocity_u.Beta","Velocity_u.Gradient:0","Velocity_u.Gradient:1","Velocity_u.Gradient:2","Velocity_v.Beta","Velocity_v.Gradient:0","Velocity_v.Gradient:1","Velocity_v.Gradient:2","Velocity_w.Beta","Velocity_w.Gradient:0","Velocity_w.Gradient:1","Velocity_w.Gradient:2","Volume_Porosity","Volume_of_Finite_Volumes","W_Mom.Residual","Wall_Shear:0","Wall_Shear:1","Wall_Shear:2"
1.8986,6.6272,0.19365,1,0.0021569,1.0018,1.5706,7.3126e-10,5.782,-2.5383e-16,0,1.8986,-0.25029,-0.0020411,-1.3553e-20,5,34.718,1,1.8986,-1.0119e-08,1.7896e-09,0,0,0,0.027531,0.0074968,34.714,0,0.99022,-0.0013462,-0.0060579,8.0468e-20,0.71897,4.2352e-22,0,-1.009e-11,1,3.8042e-06,-7.553e-23,0.076918,4.1889e-07,-3.3295e-22
1.8861,6.6034,0.19546,1,0.0021569,1.0018,1.5706,6.9351e-10,5.8322,-2.5178e-16,0,1.8861,-0.25194,-0.0010695,-1.3553e-20,5,34.77,1,1.8861,-9.0701e-09,2.0404e-09,0,0,0,0.027851,0.013664,34.766,0,0.83602,-0.0015468,-0.018654,5.7598e-20,0.71755,1.6941e-21,0,-1.0136e-11,1,3.8179e-06,-5.2159e-23,0.077061,4.1967e-07,-2.7597e-22
1.8734,6.5797,0.19797,1,0.0021569,1.0018,1.5706,5.9623e-10,5.8824,-2.4973e-16,0,1.8734,-0.25929,-0.0008363,-1.3553e-20,5,34.836,1,1.8734,-8.6255e-09,1.9899e-09,0,0,0,0.028687,0.015659,34.838,0,0.74226,0.00062986,-0.022197,3.7269e-20,0.71612,1.6941e-21,0,-1.0197e-11,1,3.8316e-06,-3.25e-23,0.077264,4.2077e-07,-2.2364e-22
1.8601,6.5562,0.19925,1,0.0021569,1.0018,1.5706,5.8766e-10,5.9325,-2.4768e-16,0,1.8601,-0.26687,-0.0019094,-1.3553e-20,5,34.898,1,1.8601,-8.8589e-09,1.7767e-09,0,0,0,0.029381,0.012325,34.901,0,0.95166,0.0012922,-0.012592,2.2023e-20,0.71506,1.6941e-21,0,-1.0265e-11,1,3.8453e-06,-2.2051e-23,0.077457,4.2182e-07,-2.0001e-22
1.8466,6.5329,0.19996,1,0.0021569,1.0018,1.5706,7.1019e-10,5.9827,-2.4564e-16,0,1.8466,-0.27115,-0.0017868,-1.3553e-20,5,34.947,1,1.8466,-8.8908e-09,1.6528e-09,0,0,0,0.029796,0.0098158,34.948,0,0.98608,-0.00018039,-0.0086586,1.1858e-20,0.71397,1.6941e-21,0,-1.0322e-11,1,3.859e-06,-2.4216e-23,0.077608,4.2264e-07,-1.5912e-22
1.8329,6.5097,0.20117,1,0.0021569,1.0018,1.5706,4.8178e-10,6.0329,-2.4359e-16,0,1.8329,-0.27426,-0.00054267,-1.3553e-20,5,34.985,1,1.8329,-8.43e-09,1.5178e-09,0,0,0,0.030214,0.0084411,34.988,0,0.93742,-9.0477e-05,-0.010338,5.0822e-21,0.71274,2.1176e-21,0,-1.0372e-11,1,3.8727e-06,-3.4983e-23,0.07773,4.2331e-07,-1.0378e-22
1.8191,6.4867,0.20213,1,0.0021569,1.0018,1.5706,5.1006e-10,6.083,-2.4154e-16,0,1.8191,-0.27733,-0.00091582,1.3553e-20,5,35.016,1,1.8191,-8.2567e-09,1.4188e-09,0,0,0,0.03057,0.0065496,35.018,0,0.98382,0.00043943,-0.0067327,2.5411e-21,0.71181,1.2705e-21,0,-1.0424e-11,1,3.8864e-06,-4.3685e-23,0.077829,4.2385e-07,-6.2755e-23
1.8051,6.4639,0.20297,1,0.0021569,1.0018,1.5706,6.061e-10,6.1332,-2.3949e-16,0,1.8051,-0.27991,-0.0010299,1.3553e-20,5,35.04,1,1.8051,-8.1006e-09,1.4176e-09,0,0,0,0.03088,0.0063727,35.04,0,0.99003,-0.00037055,-0.0062775,0,0.71089,1.2705e-21,0,-1.0471e-11,1,3.9001e-06,-4.6696e-23,0.077914,4.2431e-07,-3.1791e-23
1.791,6.4412,0.20436,1,0.0021569,1.0018,1.5706,4.4109e-10,6.1834,-2.3744e-16,0,1.791,-0.28315,-0.00017881,0,5,35.064,1,1.791,-7.6311e-09,1.3683e-09,0,0,0,0.031329,0.0070042,35.064,-6.9389e-18,0.93942,-0.00030927,-0.0093114,-3.3881e-21,0.70981,1.2705e-21,0,-1.0516e-11,1,3.9138e-06,-4.7231e-23,0.078002,4.2479e-07,9.6281e-26
1.7767,6.4187,0.20567,1,0.0021569,1.0017,1.5706,3.8076e-10,6.2335,-2.354e-16,0,1.7767,-0.2868,-0.00010304,1.3553e-20,5,35.083,1,1.7767,-7.4616e-09,1.2125e-09,0,0,0,0.031783,0.0047397,35.086,-6.9389e-18,0.96211,0.00085351,-0.0064761,-5.0822e-21,0.70887,8.4703e-22,0,-1.0565e-11,1,3.9275e-06,-5.0883e-23,0.078078,4.252e-07,2.5265e-23
1.7622,6.3963,0.20606,1,0.0021569,1.0017,1.5706,4.9997e-10,6.2837,-2.3335e-16,0,1.7622,-0.28825,-0.00079945,1.3553e-20,5,35.089,1,1.7622,-7.7322e-09,1.1007e-09,0,0,0,0.031944,0.0007231,35.092,0,0.99333,0.00087714,0.0011298,-6.988e-21,0.7081,1.0588e-21,0,-1.0611e-11,1,3.9412e-06,-5.6593e-23,0.078109,4.2537e-07,4.3376e-23
1.7478,6.3741,0.20617,1,0.0021569,1.0017,1.5706,5.2986e-10,6.3338,-2.313e-16,0,1.7478,-0.28739,-0.00080133,1.3553e-20,5,35.085,1,1.7478,-7.5797e-09,1.1539e-09,0,0,0,0.031914,1.2819e-05,35.085,0,0.98288,-0.00055672,0.0024642,-6.3527e-21,0.70733,1.0588e-21,0,-1.0647e-11,1,3.9549e-06,-5.9974e-23,0.078108,4.2537e-07,6.5844e-23
1.7334,6.3521,0.20715,1,0.0021569,1.0017,1.5706,3.7335e-10,6.384,-2.2925e-16,0,1.7334,-0.2879,0.0001617,1.3553e-20,5,35.084,1,1.7334,-6.873e-09,1.215e-09,0,0,0,0.032127,0.0032217,35.081,0,0.98394,-0.0011409,-0.0044508,-5.9292e-21,0.70657,4.2352e-22,0,-1.068e-11,1,3.9686e-06,-6.2769e-23,0.078124,4.2546e-07,9.7017e-23
1.7189,6.3302,0.20883,1,0.0021569,1.0017,1.5706,2.6359e-10,6.4342,-2.2721e-16,0,1.7189,-0.29185,0.00051116,1.3553e-20,5,35.091,1,1.7189,-6.3462e-09,1.1304e-09,0,0,0,0.032687,0.0055701,35.09,0,0.92331,-0.00010524,-0.0087423,-1.0164e-20,0.70565,0,0,-1.0721e-11,1,3.9823e-06,-7.0298e-23,0.07818,4.2576e-07,1.0677e-22
1.7041,6.3084,0.21018,1,0.0021569,1.0017,1.5706,2.217e-10,6.4843,-2.2516e-16,0,1.7041,-0.29673,-7.1655e-06,2.7105e-20,5,35.099,1,1.7041,-6.5332e-09,8.3356e-10,0,0,0,0.033261,0.0039791,35.102,0,0.97133,0.00087568,-0.0053747,-1.44e-20,0.70486,0,0,-1.0769e-11,1,3.996e-06,-8.5013e-23,0.078241,4.2609e-07,9.6736e-23
1.6891,6.2868,0.21074,1,0.0021569,1.0017,1.5706,2.5881e-10,6.5345,-2.2311e-16,0,1.6891,-0.29895,-0.00033492,2.7105e-20,5,35.099,1,1.6891,-7.0684e-09,5.713e-10,0,0,0,0.033528,9.883e-05,35.101,0,0.99755,0.00081271,0.0010958,-2.0541e-20,0.70413,-2.1176e-22,0,-1.0813e-11,1,4.0097e-06,-1.032e-22,0.078264,4.2622e-07,9.4117e-23
1.6741,6.2654,0.21093,1,0.0021569,1.0017,1.5706,1.2383e-10,6.5847,-2.2106e-16,0,1.6741,-0.29794,-0.00025926,2.7105e-20,5,35.086,1,1.6741,-7.1111e-09,4.6335e-10,0,0,0,0.0335,-0.0023716,35.087,0,0.98002,-5.1773e-05,0.0044365,-2.6258e-20,0.70339,-6.3527e-22,0,-1.0848e-11,1,4.0234e-06,-1.1692e-22,0.078242,4.261e-07,8.4067e-23
1.6592,6.2441,0.21147,1,0.0021569,1.0017,1.5706,3.2319e-11,6.6348,-2.1901e-16,0,1.6592,-0.29598,0.00039377,4.0658e-20,5,35.068,1,1.6592,-6.6848e-09,4.1631e-10,0,0,0,0.033441,-0.0027054,35.069,0,0.99758,-0.00032915,0.0027569,-3.2611e-20,0.70277,-1.0588e-21,0,-1.0877e-11,1,4.0371e-06,-1.2279e-22,0.0782,4.2587e-07,6.5801e-23
1.6444,6.2229,0.21213,1,0.0021569,1.0017,1.5706,1.166e-10,6.685,-2.1697e-16,0,1.6444,-0.29464,0.00047128,4.0658e-20,5,35.049,1,1.6444,-6.7126e-09,3.7953e-10,0,0,0,0.033426,-0.0027212,35.05,0,0.99833,7.7221e-05,0.0026404,-3.8964e-20,0.70212,-1.2705e-21,0,-1.0907e-11,1,4.0508e-06,-1.2035e-22,0.078156,4.2563e-07,4.545e-23
1.6297,6.2019,0.2127,1,0.0021569,1.0017,1.5706,8.1483e-11,6.7352,-2.1492e-16,0,1.6297,-0.29362,0.00014305,4.0658e-20,5,35.031,1,1.6297,-6.804e-09,3.2934e-10,0,0,0,0.033417,-0.0022833,35.03,0,0.99502,-0.0001406,0.002722,-4.4893e-20,0.70148,-1.0588e-21,0,-1.0939e-11,1,4.0645e-06,-1.0811e-22,0.078116,4.2541e-07,2.0708e-23
1.6149,6.181,0.21354,1,0.0021569,1.0017,1.5706,3.1033e-11,6.7853,-2.1287e-16,0,1.6149,-0.29294,0.00043968,2.7105e-20,5,35.014,1,1.6149,-6.7988e-09,2.0591e-10,0,0,0,0.033482,-0.001607,35.014,0,0.99929,-0.00019483,0.00089613,-4.9234e-20,0.70083,-6.3527e-22,0,-1.097e-11,1,4.0782e-06,-8.2822e-23,0.078083,4.2523e-07,1.6916e-24
1.6003,6.1603,0.21433,1,0.0021569,1.0017,1.5706,-5.8126e-11,6.8355,-2.1082e-16,0,1.6003,-0.29235,0.00068215,2.7105e-20,5,34.997,1,1.6003,-7.1047e-09,-3.5221e-12,0,0,0,0.033534,-0.0027148,34.998,0,0.99844,0.00050165,0.0022689,-4.7857e-20,0.70015,-1.0588e-22,0,-1.1003e-11,1,4.092e-06,-4.5777e-23,0.078047,4.2503e-07,-2.8891e-24
1.5856,6.1397,0.21456,1,0.0021569,1.0017,1.5706,8.1376e-11,6.8857,-2.0878e-16,0,1.5856,-0.29025,3.6347e-05,1.3553e-20,5,34.976,1,1.5856,-7.6261e-09,-3.6431e-11,0,0,0,0.03337,-0.0047938,34.977,0,0.9695,0.00051005,0.0063653,-4.4893e-20,0.69948,6.3527e-22,0,-1.1034e-11,1,4.1057e-06,-6.5197e-24,0.077989,4.2472e-07,9.626e-24
1.5711,6.1192,0.21459,1,0.0021569,1.0017,1.5706,1.4052e-10,6.9358,-2.0673e-16,0,1.5711,-0.28652,-8.5958e-05,0,5,34.953,1,1.5711,-7.6471e-09,2.3083e-10,0,0,0,0.033059,-0.004735,34.951,0,0.96387,-0.00030416,0.0063146,-3.7269e-20,0.69889,1.2705e-21,0,-1.1061e-11,1,4.1194e-06,2.0167e-23,0.077917,4.2433e-07,3.0545e-23
1.5569,6.0989,0.21507,1,0.0021569,1.0017,1.5706,1.198e-10,6.986,-2.0468e-16,0,1.5569,-0.28354,-4.7655e-05,0,5,34.935,1,1.5569,-6.9015e-09,5.4142e-10,0,0,0,0.032878,-0.0017039,34.932,0,0.99601,-0.00079528,0.0016426,-3.007e-20,0.69835,1.4823e-21,0,-1.1088e-11,1,4.1331e-06,2.5842e-23,0.077865,4.2405e-07,6.1124e-23
1.5427,6.0787,0.21613,1,0.0021569,1.0017,1.5706,2.8879e-10,7.0362,-2.0263e-16,0,1.5427,-0.28337,4.6959e-05,1.3553e-20,5,34.929,1,1.5427,-6.7475e-09,7.5208e-10,0,0,0,0.033004,0.0021064,34.927,0,0.98496,-0.00051643,-0.0037865,-2.6258e-20,0.69762,1.5352e-21,0,-1.112e-11,1,4.1468e-06,1.2772e-23,0.077861,4.2402e-07,9.5876e-23
1.5284,6.0587,0.21734,1,0.0021569,1.0016,1.5706,2.6852e-10,7.0863,-2.0058e-16,0,1.5284,-0.28572,-0.00022486,1.3553e-20,5,34.934,1,1.5284,-6.8185e-09,9.1042e-10,0,0,0,0.033356,0.0043385,34.933,0,0.97384,2.9514e-05,-0.0057225,-2.2023e-20,0.69685,1.2705e-21,0,-1.1161e-11,1,4.1605e-06,-2.758e-24,0.077897,4.2422e-07,1.2783e-22
1.514,6.0387,0.21838,1,0.0021569,1.0016,1.5706,8.4944e-11,7.1365,-1.9854e-16,0,1.514,-0.28892,-0.00043567,1.3553e-20,5,34.944,1,1.514,-6.4083e-09,8.8492e-10,0,0,0,0.03377,0.004883,34.944,0,0.98228,0.00016222,-0.005316,-2.2023e-20,0.69609,8.4703e-22,0,-1.1206e-11,1,4.1742e-06,-1.6071e-23,0.077952,4.2452e-07,1.4981e-22
1.4995,6.0189,0.2193,1,0.0021569,1.0016,1.5706,3.8446e-10,7.1867,-1.9649e-16,0,1.4995,-0.29205,-0.00045904,1.3553e-20,5,34.955,1,1.4995,-6.6267e-09,9.2972e-10,0,0,0,0.034183,0.0049691,34.955,0,0.9868,-2.4569e-05,-0.0049743,-2.3717e-20,0.69533,4.2352e-22,0,-1.1251e-11,1,4.1879e-06,-2.8611e-23,0.078012,4.2484e-07,1.5306e-22
1.4847,5.9993,0.22032,1,0.0021569,1.0016,1.5706,1.7359e-10,7.2368,-1.9444e-16,0,1.4847,-0.2954,-0.00036926,1.3553e-20,5,34.965,1,1.4847,-6.3802e-09,1.0024e-09,0,0,0,0.034643,0.0055286,34.965,0,0.97878,-0.00025728,-0.005911,-2.6258e-20,0.69454,4.2352e-22,0,-1.1295e-11,1,4.2016e-06,-4.2234e-23,0.078075,4.2519e-07,1.567e-22
1.4698,5.9797,0.2216,1,0.0021569,1.0016,1.5706,1.2308e-10,7.287,-1.9239e-16,0,1.4698,-0.2995,-0.0001535,1.3553e-20,5,34.977,1,1.4698,-5.8242e-09,9.6904e-10,0,0,0,0.035208,0.0059555,34.977,0,0.95776,-0.00011896,-0.0071634,-2.8799e-20,0.69373,0,0,-1.134e-11,1,4.2153e-06,-5.4228e-23,0.078146,4.2558e-07,1.7241e-22
1.4547,5.9603,0.22286,1,0.0021569,1.0016,1.5706,1.8018e-10,7.3371,-1.9034e-16,0,1.4547,-0.30394,-2.3955e-06,1.3553e-20,5,34.985,1,1.4547,-5.8975e-09,8.0254e-10,0,0,0,0.035798,0.0047645,34.987,0,0.96767,0.00037207,-0.005676,-2.9646e-20,0.69297,0,0,-1.1387e-11,1,4.229e-06,-5.6603e-23,0.078212,4.2593e-07,1.7962e-22
1.4393,5.941,0.22374,1,0.0021569,1.0016,1.5706,2.0675e-10,7.3873,-1.883e-16,0,1.4393,-0.30726,-6.141e-06,1.3553e-20,5,34.986,1,1.4393,-6.2434e-09,6.5286e-10,0,0,0,0.036237,0.0019114,34.989,0,0.996,0.00059559,-0.0015466,-2.8587e-20,0.6923,0,0,-1.1431e-11,1,4.2427e-06,-5.1336e-23,0.078251,4.2614e-07,1.7314e-22
1.4238,5.9219,0.22427,1,0.0021569,1.0016,1.5706,1.8274e-10,7.4375,-1.8625e-16,0,1.4238,-0.30853,-7.3801e-05,1.3553e-20,5,34.977,1,1.4238,-6.2749e-09,6.3936e-10,0,0,0,0.036461,-0.00084688,34.979,0,0.99643,0.00029187,0.0020108,-2.5411e-20,0.69167,-6.6174e-23,0,-1.147e-11,1,4.2564e-06,-4.3398e-23,0.078252,4.2615e-07,1.6954e-22
1.4084,5.9029,0.22475,1,0.0021569,1.0016,1.5706,1.6369e-10,7.4876,-1.842e-16,0,1.4084,-0.3085,0.00013066,0,5,34.96,1,1.4084,-5.9221e-09,7.1255e-10,0,0,0,0.036578,-0.0021659,34.96,0,0.99464,-5.5362e-05,0.0029837,-2.1176e-20,0.69106,-1.0588e-22,0,-1.1503e-11,1,4.2701e-06,-3.8839e-23,0.078228,4.2602e-07,1.6817e-22
1.3929,5.8839,0.22536,1,0.0021569,1.0016,1.5706,2.7563e-10,7.5378,-1.8215e-16,0,1.3929,-0.30855,0.00027352,1.3553e-20,5,34.939,1,1.3929,-5.7008e-09,8.5682e-10,0,0,0,0.036717,-0.0019414,34.939,0,0.99751,-0.00022477,0.0024117,-1.7364e-20,0.69051,-2.1176e-22,0,-1.1534e-11,1,4.2838e-06,-3.8213e-23,0.078196,4.2585e-07,1.6711e-22
1.3774,5.8651,0.22616,1,0.0021569,1.0016,1.5706,1.7783e-10,7.588,-1.8011e-16,0,1.3774,-0.30961,0.00032732,1.3553e-20,5,34.92,1,1.3774,-5.3073e-09,9.5166e-10,0,0,0,0.036974,-0.00059096,34.919,0,0.9993,-0.00034296,0.00050197,-1.4188e-20,0.68996,-5.294e-22,0,-1.1565e-11,1,4.2975e-06,-3.5203e-23,0.078175,4.2573e-07,1.6109e-22
1.3618,5.8465,0.22722,1,0.0021569,1.0016,1.5706,1.7881e-10,7.6381,-1.7806e-16,0,1.3618,-0.31196,0.00043425,1.3553e-20,5,34.904,1,1.3618,-4.9952e-09,8.6465e-10,0,0,0,0.037384,0.0006443,34.904,0,0.99561,-0.00017233,-0.0013318,-1.2705e-20,0.68936,-6.088e-22,0,-1.16e-11,1,4.3112e-06,-3.5059e-23,0.078172,4.2571e-07,1.4953e-22
1.3461,5.8279,0.22831,1,0.0021569,1.0016,1.5706,1.6748e-10,7.6883,-1.7601e-16,0,1.3461,-0.3149,0.00055798,1.3553e-20,5,34.889,1,1.3461,-5.2676e-09,6.6042e-10,0,0,0,0.037848,0.00010919,34.89,0,0.99792,0.00029269,-0.00053231,-1.3923e-20,0.68877,-4.7646e-22,0,-1.1637e-11,1,4.3249e-06,-4.1926e-23,0.078173,4.2572e-07,1.4068e-22
1.3302,5.8095,0.22905,1,0.0021569,1.0016,1.5706,8.4266e-11,7.7385,-1.7396e-16,0,1.3302,-0.31681,0.00062118,2.7105e-20,5,34.868,1,1.3302,-5.6294e-09,4.9478e-10,0,0,0,0.03817,-0.002902,34.871,0,0.99703,0.00076549,0.0035394,-1.6517e-20,0.68823,-2.647e-22,0,-1.1673e-11,1,4.3386e-06,-5.7188e-23,0.078151,4.256e-07,1.3396e-22
1.3143,5.7912,0.22923,1,0.0021569,1.0016,1.5706,1.5853e-10,7.7886,-1.7191e-16,0,1.3143,-0.31632,0.00026703,2.7105e-20,5,34.836,1,1.3143,-5.6953e-09,5.5781e-10,0,0,0,0.038205,-0.006443,34.838,0,0.94895,0.00052557,0.0086838,-1.8635e-20,0.68765,-4.2352e-22,0,-1.1703e-11,1,4.3523e-06,-6.8793e-23,0.078087,4.2525e-07,1.2811e-22
1.2985,5.7729,0.22929,1,0.0021569,1.0016,1.5706,1.7621e-10,7.8388,-1.6987e-16,0,1.2985,-0.3141,0.00047142,1.3553e-20,5,34.796,1,1.2985,-5.208e-09,7.7244e-10,0,0,0,0.038088,-0.0075157,34.796,0,0.93921,-0.00028518,0.009546,-2.0329e-20,0.68721,0,0,-1.1726e-11,1,4.366e-06,-7.1158e-23,0.077993,4.2474e-07,1.2579e-22
1.2828,5.7549,0.2297,1,0.0021569,1.0016,1.5706,2.0873e-10,7.889,-1.6782e-16,0,1.2828,-0.31261,0.00087099,1.3553e-20,5,34.755,1,1.2828,-4.5938e-09,9.6751e-10,0,0,0,0.038094,-0.005597,34.754,-6.9389e-18,0.98207,-0.00065283,0.0063081,-1.9482e-20,0.68685,0,0,-1.1746e-11,1,4.3798e-06,-6.6945e-23,0.077906,4.2427e-07,1.2363e-22
1.2671,5.7369,0.23057,1,0.0021569,1.0016,1.5706,2.1789e-10,7.9391,-1.6577e-16,0,1.2671,-0.31355,0.00077083,1.3553e-20,5,34.723,1,1.2671,-4.2985e-09,1.0356e-09,0,0,0,0.038377,-0.0018809,34.721,0,0.99688,-0.00071642,0.0016441,-1.9694e-20,0.68646,2.1176e-22,0,-1.1771e-11,1,4.3935e-06,-6.3577e-23,0.077856,4.24e-07,1.2368e-22
1.2513,5.719,0.23188,1,0.0021569,1.0016,1.5706,1.0918e-10,7.9893,-1.6372e-16,0,1.2513,-0.31703,0.00088343,0,5,34.702,1,1.2513,-4.2152e-09,9.0478e-10,0,0,0,0.038953,0.0011455,34.7,0,0.98373,-0.00027271,-0.0025225,-1.9905e-20,0.68592,2.3823e-22,0,-1.1804e-11,1,4.4072e-06,-7.2023e-23,0.077849,4.2396e-07,1.2755e-22
1.2353,5.7013,0.23308,1,0.0021569,1.0016,1.5706,3.753e-11,8.0395,-1.6168e-16,0,1.2353,-0.32138,0.00069628,2.7105e-20,5,34.686,1,1.2353,-4.5231e-09,6.9182e-10,0,0,0,0.039579,0.00077498,34.687,0,0.98715,0.00063816,-0.0013521,-2.1599e-20,0.68539,2.1176e-22,0,-1.1843e-11,1,4.4209e-06,-8.7481e-23,0.077858,4.2401e-07,1.2832e-22
1.2191,5.6836,0.23367,1,0.0021569,1.0015,1.5706,-2.4815e-11,8.0896,-1.5963e-16,0,1.2191,-0.32394,0.00015742,2.7105e-20,5,34.666,1,1.2191,-4.9746e-09,6.0678e-10,0,0,0,0.039954,-0.002172,34.668,0,0.99361,0.00076677,0.0035466,-2.3293e-20,0.6849,-2.647e-23,0,-1.1881e-11,1,4.4346e-06,-9.9431e-23,0.077845,4.2394e-07,1.307e-22
1.2028,5.6661,0.2339,1,0.0021569,1.0015,1.5706,5.3683e-11,8.1398,-1.5758e-16,0,1.2028,-0.32397,5.3084e-05,2.7105e-20,5,34.64,1,1.2028,-4.8162e-09,7.1411e-10,0,0,0,0.040067,-0.0040722,34.64,0,0.97029,-3.7385e-05,0.0059532,-2.5411e-20,0.68437,-2.1176e-22,0,-1.1912e-11,1,4.4483e-06,-1.007e-22,0.077802,4.237e-07,1.2932e-22
